Date,Product,Plant,Qty,Reorder,InTransit
2024-06-24,AquaFlow 200 Centrifugal Pump,Riverside Plant,410,150,115
2024-06-24,AquaFlow 200 Centrifugal Pump,Rheinland Plant,477,75,136
2024-06-24,AquaFlow 350 Submersible Pump,Riverside Plant,399,75,105
2024-06-24,AquaFlow 350 Submersible Pump,Rheinland Plant,463,75,15
2024-06-24,AquaFlow 500 Booster Pump,Riverside Plant,213,100,180
2024-06-24,AquaFlow 500 Booster Pump,Rheinland Plant,24,50,9
2024-06-24,HelioGen 1000 Gas Turbine,Riverside Plant,160,50,64
2024-06-24,HelioGen 1000 Gas Turbine,Rheinland Plant,178,150,177
2024-06-24,HelioGen 2000 Gas Turbine,Riverside Plant,263,150,42
2024-06-24,HelioGen 2000 Gas Turbine,Rheinland Plant,405,75,90
2024-06-24,HelioGen 3000 Steam Turbine,Riverside Plant,527,150,59
2024-06-24,HelioGen 3000 Steam Turbine,Rheinland Plant,117,75,197
2024-06-24,FlowGuard 10 Control Valve,Riverside Plant,5,50,165
2024-06-24,FlowGuard 10 Control Valve,Rheinland Plant,334,75,129
2024-06-24,FlowGuard 25 Control Valve,Riverside Plant,68,150,76
2024-06-24,FlowGuard 25 Control Valve,Rheinland Plant,103,100,17
2024-06-24,FlowGuard 50 Safety Valve,Riverside Plant,256,50,49
2024-06-24,FlowGuard 50 Safety Valve,Rheinland Plant,505,150,173
2024-06-24,TorqueMax 15 Induction Motor,Riverside Plant,526,75,111
2024-06-24,TorqueMax 15 Induction Motor,Rheinland Plant,159,150,28
2024-06-24,TorqueMax 30 Induction Motor,Riverside Plant,31,150,115
2024-06-24,TorqueMax 30 Induction Motor,Rheinland Plant,83,100,21
2024-06-24,TorqueMax 60 Servo Motor,Riverside Plant,145,100,77
2024-06-24,TorqueMax 60 Servo Motor,Rheinland Plant,390,75,98
2024-06-24,SenseLine Temperature Sensor,Riverside Plant,399,75,78
2024-06-24,SenseLine Temperature Sensor,Rheinland Plant,370,100,2
2024-06-24,SenseLine Pressure Sensor,Riverside Plant,320,100,54
2024-06-24,SenseLine Pressure Sensor,Rheinland Plant,132,100,101
2024-06-24,SenseLine Vibration Sensor,Riverside Plant,198,100,9
2024-06-24,SenseLine Vibration Sensor,Rheinland Plant,582,50,39
2024-06-24,Pump Seal Kit,Riverside Plant,176,150,107
2024-06-24,Pump Seal Kit,Rheinland Plant,173,50,144
2024-06-24,Turbine Bearing Set,Riverside Plant,450,50,27
2024-06-24,Turbine Bearing Set,Rheinland Plant,428,150,60
2024-06-24,Pump Impeller,Riverside Plant,215,50,105
2024-06-24,Pump Impeller,Rheinland Plant,472,100,80
2024-06-24,Turbine Blade Set,Riverside Plant,226,100,121
2024-06-24,Turbine Blade Set,Rheinland Plant,503,50,171
2024-07-01,AquaFlow 100 Centrifugal Pump,Riverside Plant,40,150,23
2024-07-01,AquaFlow 100 Centrifugal Pump,Rheinland Plant,440,75,191
2024-07-01,AquaFlow 200 Centrifugal Pump,Riverside Plant,598,150,145
2024-07-01,AquaFlow 200 Centrifugal Pump,Rheinland Plant,447,150,148
2024-07-01,AquaFlow 350 Submersible Pump,Riverside Plant,516,75,32
2024-07-01,AquaFlow 350 Submersible Pump,Rheinland Plant,317,75,158
2024-07-01,AquaFlow 500 Booster Pump,Riverside Plant,564,150,99
2024-07-01,AquaFlow 500 Booster Pump,Rheinland Plant,97,75,36
2024-07-01,HelioGen 1000 Gas Turbine,Riverside Plant,142,75,184
2024-07-01,HelioGen 1000 Gas Turbine,Rheinland Plant,35,50,117
2024-07-01,HelioGen 2000 Gas Turbine,Riverside Plant,12,50,117
2024-07-01,HelioGen 2000 Gas Turbine,Rheinland Plant,349,50,1
2024-07-01,HelioGen 3000 Steam Turbine,Riverside Plant,211,75,66
2024-07-01,HelioGen 3000 Steam Turbine,Rheinland Plant,513,100,59
2024-07-01,FlowGuard 10 Control Valve,Riverside Plant,75,100,71
2024-07-01,FlowGuard 10 Control Valve,Rheinland Plant,264,75,136
2024-07-01,FlowGuard 25 Control Valve,Riverside Plant,514,100,165
2024-07-01,FlowGuard 25 Control Valve,Rheinland Plant,31,50,141
2024-07-01,FlowGuard 50 Safety Valve,Riverside Plant,243,150,46
2024-07-01,FlowGuard 50 Safety Valve,Rheinland Plant,501,50,10
2024-07-01,TorqueMax 15 Induction Motor,Riverside Plant,508,75,46
2024-07-01,TorqueMax 15 Induction Motor,Rheinland Plant,324,75,110
2024-07-01,TorqueMax 30 Induction Motor,Riverside Plant,297,75,173
2024-07-01,TorqueMax 30 Induction Motor,Rheinland Plant,85,75,176
2024-07-01,TorqueMax 60 Servo Motor,Riverside Plant,88,75,79
2024-07-01,TorqueMax 60 Servo Motor,Rheinland Plant,269,75,134
2024-07-01,SenseLine Temperature Sensor,Riverside Plant,25,100,106
2024-07-01,SenseLine Temperature Sensor,Rheinland Plant,430,50,131
2024-07-01,SenseLine Pressure Sensor,Riverside Plant,48,75,173
2024-07-01,SenseLine Pressure Sensor,Rheinland Plant,296,50,7
2024-07-01,SenseLine Vibration Sensor,Riverside Plant,24,75,161
2024-07-01,SenseLine Vibration Sensor,Rheinland Plant,583,75,169
2024-07-01,Pump Seal Kit,Riverside Plant,526,75,44
2024-07-01,Pump Seal Kit,Rheinland Plant,39,100,126
2024-07-01,Turbine Bearing Set,Riverside Plant,210,50,130
2024-07-01,Turbine Bearing Set,Rheinland Plant,389,75,138
2024-07-01,Pump Impeller,Riverside Plant,335,75,197
2024-07-01,Pump Impeller,Rheinland Plant,417,150,158
2024-07-01,Turbine Blade Set,Riverside Plant,503,50,45
2024-07-01,Turbine Blade Set,Rheinland Plant,562,50,176
2024-07-08,AquaFlow 100 Centrifugal Pump,Riverside Plant,527,50,176
2024-07-08,AquaFlow 100 Centrifugal Pump,Rheinland Plant,554,150,91
2024-07-08,AquaFlow 200 Centrifugal Pump,Riverside Plant,495,150,70
2024-07-08,AquaFlow 200 Centrifugal Pump,Rheinland Plant,39,100,107
2024-07-08,AquaFlow 350 Submersible Pump,Riverside Plant,399,75,127
2024-07-08,AquaFlow 350 Submersible Pump,Rheinland Plant,473,100,179
2024-07-08,AquaFlow 500 Booster Pump,Riverside Plant,39,100,6
2024-07-08,AquaFlow 500 Booster Pump,Rheinland Plant,257,100,131
2024-07-08,HelioGen 1000 Gas Turbine,Riverside Plant,118,50,168
2024-07-08,HelioGen 1000 Gas Turbine,Rheinland Plant,139,50,164
2024-07-08,HelioGen 2000 Gas Turbine,Riverside Plant,82,100,23
2024-07-08,HelioGen 2000 Gas Turbine,Rheinland Plant,473,150,123
2024-07-08,HelioGen 3000 Steam Turbine,Riverside Plant,48,75,55
2024-07-08,HelioGen 3000 Steam Turbine,Rheinland Plant,87,100,94
2024-07-08,FlowGuard 10 Control Valve,Riverside Plant,231,50,9
2024-07-08,FlowGuard 10 Control Valve,Rheinland Plant,237,50,182
2024-07-08,FlowGuard 25 Control Valve,Riverside Plant,297,75,44
2024-07-08,FlowGuard 25 Control Valve,Rheinland Plant,362,75,39
2024-07-08,FlowGuard 50 Safety Valve,Riverside Plant,252,50,56
2024-07-08,FlowGuard 50 Safety Valve,Rheinland Plant,77,75,105
2024-07-08,TorqueMax 15 Induction Motor,Riverside Plant,209,100,56
2024-07-08,TorqueMax 15 Induction Motor,Rheinland Plant,135,100,81
2024-07-08,TorqueMax 30 Induction Motor,Riverside Plant,599,150,114
2024-07-08,TorqueMax 30 Induction Motor,Rheinland Plant,546,100,26
2024-07-08,TorqueMax 60 Servo Motor,Riverside Plant,31,150,49
2024-07-08,TorqueMax 60 Servo Motor,Rheinland Plant,24,75,146
2024-07-08,SenseLine Temperature Sensor,Riverside Plant,164,100,51
2024-07-08,SenseLine Temperature Sensor,Rheinland Plant,368,100,106
2024-07-08,SenseLine Pressure Sensor,Riverside Plant,118,150,113
2024-07-08,SenseLine Pressure Sensor,Rheinland Plant,22,50,31
2024-07-08,SenseLine Vibration Sensor,Riverside Plant,453,50,153
2024-07-08,SenseLine Vibration Sensor,Rheinland Plant,367,50,60
2024-07-08,Pump Seal Kit,Riverside Plant,339,100,170
2024-07-08,Pump Seal Kit,Rheinland Plant,200,75,83
2024-07-08,Turbine Bearing Set,Riverside Plant,361,150,199
2024-07-08,Turbine Bearing Set,Rheinland Plant,458,50,105
2024-07-08,Pump Impeller,Riverside Plant,475,75,114
2024-07-08,Pump Impeller,Rheinland Plant,174,50,17
2024-07-08,Turbine Blade Set,Riverside Plant,505,150,38
2024-07-08,Turbine Blade Set,Rheinland Plant,214,50,186
2024-07-15,AquaFlow 100 Centrifugal Pump,Riverside Plant,164,150,138
2024-07-15,AquaFlow 100 Centrifugal Pump,Rheinland Plant,576,100,176
2024-07-15,AquaFlow 200 Centrifugal Pump,Riverside Plant,77,100,136
2024-07-15,AquaFlow 200 Centrifugal Pump,Rheinland Plant,277,100,13
2024-07-15,AquaFlow 350 Submersible Pump,Riverside Plant,273,100,82
2024-07-15,AquaFlow 350 Submersible Pump,Rheinland Plant,304,100,150
2024-07-15,AquaFlow 500 Booster Pump,Riverside Plant,450,100,152
2024-07-15,AquaFlow 500 Booster Pump,Rheinland Plant,141,150,21
2024-07-15,HelioGen 1000 Gas Turbine,Riverside Plant,249,100,137
2024-07-15,HelioGen 1000 Gas Turbine,Rheinland Plant,224,100,156
2024-07-15,HelioGen 2000 Gas Turbine,Riverside Plant,489,75,51
2024-07-15,HelioGen 2000 Gas Turbine,Rheinland Plant,198,75,5
2024-07-15,HelioGen 3000 Steam Turbine,Riverside Plant,51,75,186
2024-07-15,HelioGen 3000 Steam Turbine,Rheinland Plant,474,75,72
2024-07-15,FlowGuard 10 Control Valve,Riverside Plant,347,150,157
2024-07-15,FlowGuard 10 Control Valve,Rheinland Plant,18,100,5
2024-07-15,FlowGuard 25 Control Valve,Riverside Plant,453,150,37
2024-07-15,FlowGuard 25 Control Valve,Rheinland Plant,588,75,11
2024-07-15,FlowGuard 50 Safety Valve,Riverside Plant,91,75,191
2024-07-15,FlowGuard 50 Safety Valve,Rheinland Plant,73,100,180
2024-07-15,TorqueMax 15 Induction Motor,Riverside Plant,125,50,167
2024-07-15,TorqueMax 15 Induction Motor,Rheinland Plant,78,150,84
2024-07-15,TorqueMax 30 Induction Motor,Riverside Plant,261,100,35
2024-07-15,TorqueMax 30 Induction Motor,Rheinland Plant,182,75,52
2024-07-15,TorqueMax 60 Servo Motor,Riverside Plant,357,150,46
2024-07-15,TorqueMax 60 Servo Motor,Rheinland Plant,135,150,45
2024-07-15,SenseLine Temperature Sensor,Riverside Plant,261,150,126
2024-07-15,SenseLine Temperature Sensor,Rheinland Plant,285,75,13
2024-07-15,SenseLine Pressure Sensor,Riverside Plant,319,50,188
2024-07-15,SenseLine Pressure Sensor,Rheinland Plant,36,150,94
2024-07-15,SenseLine Vibration Sensor,Riverside Plant,123,75,121
2024-07-15,SenseLine Vibration Sensor,Rheinland Plant,272,150,116
2024-07-15,Pump Seal Kit,Riverside Plant,6,150,14
2024-07-15,Pump Seal Kit,Rheinland Plant,42,150,175
2024-07-15,Turbine Bearing Set,Riverside Plant,564,50,85
2024-07-15,Turbine Bearing Set,Rheinland Plant,175,50,160
2024-07-15,Pump Impeller,Riverside Plant,245,75,192
2024-07-15,Pump Impeller,Rheinland Plant,526,50,161
2024-07-15,Turbine Blade Set,Riverside Plant,496,150,31
2024-07-15,Turbine Blade Set,Rheinland Plant,175,100,199
2024-07-22,AquaFlow 100 Centrifugal Pump,Riverside Plant,117,150,134
2024-07-22,AquaFlow 100 Centrifugal Pump,Rheinland Plant,78,100,32
2024-07-22,AquaFlow 200 Centrifugal Pump,Riverside Plant,267,100,18
2024-07-22,AquaFlow 200 Centrifugal Pump,Rheinland Plant,575,50,161
2024-07-22,AquaFlow 350 Submersible Pump,Riverside Plant,501,75,39
2024-07-22,AquaFlow 350 Submersible Pump,Rheinland Plant,315,150,57
2024-07-22,AquaFlow 500 Booster Pump,Riverside Plant,105,75,98
2024-07-22,AquaFlow 500 Booster Pump,Rheinland Plant,491,50,164
2024-07-22,HelioGen 1000 Gas Turbine,Riverside Plant,137,100,189
2024-07-22,HelioGen 1000 Gas Turbine,Rheinland Plant,523,100,76
2024-07-22,HelioGen 2000 Gas Turbine,Riverside Plant,428,50,100
2024-07-22,HelioGen 2000 Gas Turbine,Rheinland Plant,292,150,17
2024-07-22,HelioGen 3000 Steam Turbine,Riverside Plant,538,100,70
2024-07-22,HelioGen 3000 Steam Turbine,Rheinland Plant,140,150,72
2024-07-22,FlowGuard 10 Control Valve,Riverside Plant,49,150,98
2024-07-22,FlowGuard 10 Control Valve,Rheinland Plant,273,50,137
2024-07-22,FlowGuard 25 Control Valve,Riverside Plant,481,50,197
2024-07-22,FlowGuard 25 Control Valve,Rheinland Plant,14,75,139
2024-07-22,FlowGuard 50 Safety Valve,Riverside Plant,107,50,10
2024-07-22,FlowGuard 50 Safety Valve,Rheinland Plant,24,100,77
2024-07-22,TorqueMax 15 Induction Motor,Riverside Plant,582,100,79
2024-07-22,TorqueMax 15 Induction Motor,Rheinland Plant,423,150,70
2024-07-22,TorqueMax 30 Induction Motor,Riverside Plant,219,150,176
2024-07-22,TorqueMax 30 Induction Motor,Rheinland Plant,549,150,56
2024-07-22,TorqueMax 60 Servo Motor,Riverside Plant,295,75,188
2024-07-22,TorqueMax 60 Servo Motor,Rheinland Plant,398,75,182
2024-07-22,SenseLine Temperature Sensor,Riverside Plant,550,150,158
2024-07-22,SenseLine Temperature Sensor,Rheinland Plant,55,50,56
2024-07-22,SenseLine Pressure Sensor,Riverside Plant,199,100,65
2024-07-22,SenseLine Pressure Sensor,Rheinland Plant,273,75,73
2024-07-22,SenseLine Vibration Sensor,Riverside Plant,260,75,69
2024-07-22,SenseLine Vibration Sensor,Rheinland Plant,218,100,183
2024-07-22,Pump Seal Kit,Riverside Plant,395,100,117
2024-07-22,Pump Seal Kit,Rheinland Plant,422,150,175
2024-07-22,Turbine Bearing Set,Riverside Plant,533,100,182
2024-07-22,Turbine Bearing Set,Rheinland Plant,430,150,61
2024-07-22,Pump Impeller,Riverside Plant,476,50,152
2024-07-22,Pump Impeller,Rheinland Plant,341,100,75
2024-07-22,Turbine Blade Set,Riverside Plant,255,150,27
2024-07-22,Turbine Blade Set,Rheinland Plant,583,75,141
2024-07-29,AquaFlow 100 Centrifugal Pump,Riverside Plant,260,150,118
2024-07-29,AquaFlow 100 Centrifugal Pump,Rheinland Plant,372,75,194
2024-07-29,AquaFlow 200 Centrifugal Pump,Riverside Plant,185,150,157
2024-07-29,AquaFlow 200 Centrifugal Pump,Rheinland Plant,46,100,149
2024-07-29,AquaFlow 350 Submersible Pump,Riverside Plant,375,75,54
2024-07-29,AquaFlow 350 Submersible Pump,Rheinland Plant,577,150,57
2024-07-29,AquaFlow 500 Booster Pump,Riverside Plant,365,100,145
2024-07-29,AquaFlow 500 Booster Pump,Rheinland Plant,108,50,90
2024-07-29,HelioGen 1000 Gas Turbine,Riverside Plant,3,150,106
2024-07-29,HelioGen 1000 Gas Turbine,Rheinland Plant,450,100,172
2024-07-29,HelioGen 2000 Gas Turbine,Riverside Plant,262,150,103
2024-07-29,HelioGen 2000 Gas Turbine,Rheinland Plant,185,150,0
2024-07-29,HelioGen 3000 Steam Turbine,Riverside Plant,554,100,167
2024-07-29,HelioGen 3000 Steam Turbine,Rheinland Plant,316,150,127
2024-07-29,FlowGuard 10 Control Valve,Riverside Plant,116,50,18
2024-07-29,FlowGuard 10 Control Valve,Rheinland Plant,470,150,152
2024-07-29,FlowGuard 25 Control Valve,Riverside Plant,485,150,117
2024-07-29,FlowGuard 25 Control Valve,Rheinland Plant,574,50,168
2024-07-29,FlowGuard 50 Safety Valve,Riverside Plant,272,100,88
2024-07-29,FlowGuard 50 Safety Valve,Rheinland Plant,572,150,35
2024-07-29,TorqueMax 15 Induction Motor,Riverside Plant,256,50,51
2024-07-29,TorqueMax 15 Induction Motor,Rheinland Plant,594,100,66
2024-07-29,TorqueMax 30 Induction Motor,Riverside Plant,546,75,162
2024-07-29,TorqueMax 30 Induction Motor,Rheinland Plant,1,50,125
2024-07-29,TorqueMax 60 Servo Motor,Riverside Plant,157,50,72
2024-07-29,TorqueMax 60 Servo Motor,Rheinland Plant,559,100,114
2024-07-29,SenseLine Temperature Sensor,Riverside Plant,394,50,86
2024-07-29,SenseLine Temperature Sensor,Rheinland Plant,42,150,143
2024-07-29,SenseLine Pressure Sensor,Riverside Plant,213,150,80
2024-07-29,SenseLine Pressure Sensor,Rheinland Plant,153,150,116
2024-07-29,SenseLine Vibration Sensor,Riverside Plant,20,75,12
2024-07-29,SenseLine Vibration Sensor,Rheinland Plant,147,150,144
2024-07-29,Pump Seal Kit,Riverside Plant,143,100,97
2024-07-29,Pump Seal Kit,Rheinland Plant,112,50,5
2024-07-29,Turbine Bearing Set,Riverside Plant,158,150,44
2024-07-29,Turbine Bearing Set,Rheinland Plant,494,50,40
2024-07-29,Pump Impeller,Riverside Plant,217,150,166
2024-07-29,Pump Impeller,Rheinland Plant,145,50,117
2024-07-29,Turbine Blade Set,Riverside Plant,236,50,14
2024-07-29,Turbine Blade Set,Rheinland Plant,254,150,67
2024-08-05,AquaFlow 100 Centrifugal Pump,Riverside Plant,444,100,158
2024-08-05,AquaFlow 100 Centrifugal Pump,Rheinland Plant,401,75,132
2024-08-05,AquaFlow 200 Centrifugal Pump,Riverside Plant,442,150,108
2024-08-05,AquaFlow 200 Centrifugal Pump,Rheinland Plant,276,75,5
2024-08-05,AquaFlow 350 Submersible Pump,Riverside Plant,126,50,111
2024-08-05,AquaFlow 350 Submersible Pump,Rheinland Plant,27,75,32
2024-08-05,AquaFlow 500 Booster Pump,Riverside Plant,85,75,164
2024-08-05,AquaFlow 500 Booster Pump,Rheinland Plant,409,150,83
2024-08-05,HelioGen 1000 Gas Turbine,Riverside Plant,348,150,11
2024-08-05,HelioGen 1000 Gas Turbine,Rheinland Plant,388,50,11
2024-08-05,HelioGen 2000 Gas Turbine,Riverside Plant,548,75,196
2024-08-05,HelioGen 2000 Gas Turbine,Rheinland Plant,40,75,152
2024-08-05,HelioGen 3000 Steam Turbine,Riverside Plant,387,75,161
2024-08-05,HelioGen 3000 Steam Turbine,Rheinland Plant,400,100,91
2024-08-05,FlowGuard 10 Control Valve,Riverside Plant,44,100,8
2024-08-05,FlowGuard 10 Control Valve,Rheinland Plant,204,150,129
2024-08-05,FlowGuard 25 Control Valve,Riverside Plant,582,75,51
2024-08-05,FlowGuard 25 Control Valve,Rheinland Plant,588,50,63
2024-08-05,FlowGuard 50 Safety Valve,Riverside Plant,2,100,114
2024-08-05,FlowGuard 50 Safety Valve,Rheinland Plant,251,150,1
2024-08-05,TorqueMax 15 Induction Motor,Riverside Plant,240,75,157
2024-08-05,TorqueMax 15 Induction Motor,Rheinland Plant,274,75,13
