Date,Timestamp,Year,line_name,DeviceID,product_name,Shift,Planned,Qty,Good,Scrap,Runtime,Down
2024-06-01,2024-06-01 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Day,116,104,101,3,462,18
2024-06-01,2024-06-01 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Swing,99,89,85,4,459,21
2024-06-01,2024-06-01 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 15 Induction Motor,Night,83,78,77,1,456,24
2024-06-01,2024-06-01 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Vibration Sensor,Day,83,79,79,0,460,20
2024-06-01,2024-06-01 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Swing,89,86,85,1,474,6
2024-06-01,2024-06-01 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Night,67,63,61,2,465,15
2024-06-01,2024-06-01 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Blade Set,Day,83,78,74,4,480,0
2024-06-01,2024-06-01 00:00:00,2024,Line D2 - Final Test,test-001,Pump Seal Kit,Swing,56,52,50,2,465,15
2024-06-01,2024-06-01 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Night,85,77,76,1,480,0
2024-06-03,2024-06-03 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 1000 Gas Turbine,Day,61,60,58,2,473,7
2024-06-03,2024-06-03 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 350 Submersible Pump,Swing,57,54,52,2,469,11
2024-06-03,2024-06-03 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 200 Centrifugal Pump,Night,44,38,38,0,463,17
2024-06-03,2024-06-03 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 100 Centrifugal Pump,Day,41,36,35,1,468,12
2024-06-03,2024-06-03 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 1000 Gas Turbine,Swing,91,90,86,4,468,12
2024-06-03,2024-06-03 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 500 Booster Pump,Night,71,64,62,2,465,15
2024-06-03,2024-06-03 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,HelioGen 3000 Steam Turbine,Day,60,57,56,1,471,9
2024-06-03,2024-06-03 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,HelioGen 1000 Gas Turbine,Swing,57,54,54,0,477,3
2024-06-03,2024-06-03 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 350 Submersible Pump,Night,51,45,43,2,458,22
2024-06-03,2024-06-03 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 200 Centrifugal Pump,Day,60,59,56,3,476,4
2024-06-03,2024-06-03 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 350 Submersible Pump,Swing,88,86,84,2,473,7
2024-06-03,2024-06-03 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 100 Centrifugal Pump,Night,75,72,69,3,459,21
2024-06-03,2024-06-03 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Day,43,42,41,1,472,8
2024-06-03,2024-06-03 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 50 Safety Valve,Swing,118,103,99,4,462,18
2024-06-03,2024-06-03 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Night,74,70,68,2,465,15
2024-06-03,2024-06-03 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 60 Servo Motor,Day,41,38,38,0,466,14
2024-06-03,2024-06-03 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 60 Servo Motor,Swing,116,100,98,2,457,23
2024-06-03,2024-06-03 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Night,47,44,43,1,473,7
2024-06-03,2024-06-03 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Day,119,106,104,2,471,9
2024-06-03,2024-06-03 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Swing,118,117,117,0,468,12
2024-06-03,2024-06-03 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Night,80,73,70,3,479,1
2024-06-03,2024-06-03 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Day,107,107,103,4,478,2
2024-06-03,2024-06-03 00:00:00,2024,Line D2 - Final Test,test-001,Pump Impeller,Swing,98,93,93,0,469,11
2024-06-03,2024-06-03 00:00:00,2024,Line D2 - Final Test,test-001,Pump Seal Kit,Night,98,89,88,1,463,17
2024-06-04,2024-06-04 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 2000 Gas Turbine,Day,119,108,107,1,476,4
2024-06-04,2024-06-04 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 100 Centrifugal Pump,Swing,95,91,91,0,467,13
2024-06-04,2024-06-04 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 1000 Gas Turbine,Night,76,70,68,2,470,10
2024-06-04,2024-06-04 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 350 Submersible Pump,Day,61,55,53,2,470,10
2024-06-04,2024-06-04 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 500 Booster Pump,Swing,91,82,81,1,470,10
2024-06-04,2024-06-04 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 3000 Steam Turbine,Night,45,42,42,0,468,12
2024-06-04,2024-06-04 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 100 Centrifugal Pump,Day,46,45,45,0,472,8
2024-06-04,2024-06-04 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 500 Booster Pump,Swing,94,49,47,2,260,220
2024-06-04,2024-06-04 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,HelioGen 1000 Gas Turbine,Night,89,81,78,3,477,3
2024-06-04,2024-06-04 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 350 Submersible Pump,Day,50,49,49,0,475,5
2024-06-04,2024-06-04 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 2000 Gas Turbine,Swing,55,50,50,0,474,6
2024-06-04,2024-06-04 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 1000 Gas Turbine,Night,50,45,45,0,468,12
2024-06-04,2024-06-04 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Day,73,67,67,0,456,24
2024-06-04,2024-06-04 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 50 Safety Valve,Swing,101,89,87,2,462,18
2024-06-04,2024-06-04 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 50 Safety Valve,Night,92,87,84,3,475,5
2024-06-04,2024-06-04 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 60 Servo Motor,Day,97,91,90,1,456,24
2024-06-04,2024-06-04 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Swing,112,100,95,5,475,5
2024-06-04,2024-06-04 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 15 Induction Motor,Night,51,50,49,1,475,5
2024-06-04,2024-06-04 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Day,97,90,86,4,458,22
2024-06-04,2024-06-04 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Vibration Sensor,Swing,109,98,97,1,470,10
2024-06-04,2024-06-04 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Vibration Sensor,Night,51,45,44,1,467,13
2024-06-04,2024-06-04 00:00:00,2024,Line D2 - Final Test,test-001,Pump Impeller,Day,61,56,55,1,467,13
2024-06-04,2024-06-04 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Blade Set,Swing,57,51,49,2,457,23
2024-06-04,2024-06-04 00:00:00,2024,Line D2 - Final Test,test-001,Pump Seal Kit,Night,81,71,68,3,460,20
2024-06-05,2024-06-05 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 100 Centrifugal Pump,Day,92,90,88,2,476,4
2024-06-05,2024-06-05 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 3000 Steam Turbine,Swing,42,41,41,0,467,13
2024-06-05,2024-06-05 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 3000 Steam Turbine,Night,64,61,60,1,472,8
2024-06-05,2024-06-05 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 3000 Steam Turbine,Day,69,60,59,1,468,12
2024-06-05,2024-06-05 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 500 Booster Pump,Swing,84,81,79,2,472,8
2024-06-05,2024-06-05 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 100 Centrifugal Pump,Night,55,55,55,0,476,4
2024-06-05,2024-06-05 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 350 Submersible Pump,Day,59,55,55,0,458,22
2024-06-05,2024-06-05 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 200 Centrifugal Pump,Swing,76,70,67,3,459,21
2024-06-05,2024-06-05 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 350 Submersible Pump,Night,115,107,101,6,463,17
2024-06-05,2024-06-05 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 350 Submersible Pump,Day,107,97,93,4,473,7
2024-06-05,2024-06-05 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 500 Booster Pump,Swing,57,55,53,2,475,5
2024-06-05,2024-06-05 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 1000 Gas Turbine,Night,83,50,48,2,315,165
2024-06-05,2024-06-05 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 50 Safety Valve,Day,77,73,72,1,465,15
2024-06-05,2024-06-05 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Swing,54,51,49,2,480,0
2024-06-05,2024-06-05 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 10 Control Valve,Night,40,37,37,0,472,8
2024-06-05,2024-06-05 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Day,60,54,52,2,460,20
2024-06-05,2024-06-05 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 15 Induction Motor,Swing,45,43,41,2,462,18
2024-06-05,2024-06-05 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 15 Induction Motor,Night,66,62,61,1,470,10
2024-06-05,2024-06-05 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Temperature Sensor,Day,93,86,82,4,475,5
2024-06-05,2024-06-05 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Vibration Sensor,Swing,48,44,43,1,458,22
2024-06-05,2024-06-05 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Temperature Sensor,Night,64,63,62,1,479,1
2024-06-05,2024-06-05 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Blade Set,Day,60,54,52,2,461,19
2024-06-05,2024-06-05 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Swing,118,115,115,0,464,16
2024-06-05,2024-06-05 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Night,40,37,37,0,465,15
2024-06-06,2024-06-06 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 2000 Gas Turbine,Day,113,97,92,5,458,22
2024-06-06,2024-06-06 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 100 Centrifugal Pump,Swing,70,67,67,0,459,21
2024-06-06,2024-06-06 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 100 Centrifugal Pump,Night,102,92,90,2,462,18
2024-06-06,2024-06-06 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 1000 Gas Turbine,Day,96,85,85,0,464,16
2024-06-06,2024-06-06 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 100 Centrifugal Pump,Swing,119,118,118,0,471,9
2024-06-06,2024-06-06 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 2000 Gas Turbine,Night,53,49,48,1,467,13
2024-06-06,2024-06-06 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,HelioGen 1000 Gas Turbine,Day,98,88,84,4,460,20
2024-06-06,2024-06-06 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 100 Centrifugal Pump,Swing,70,61,61,0,458,22
2024-06-06,2024-06-06 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 100 Centrifugal Pump,Night,108,103,98,5,474,6
2024-06-06,2024-06-06 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 500 Booster Pump,Day,96,86,84,2,468,12
2024-06-06,2024-06-06 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 1000 Gas Turbine,Swing,85,64,64,0,400,80
2024-06-06,2024-06-06 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 2000 Gas Turbine,Night,117,116,116,0,470,10
2024-06-06,2024-06-06 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Day,74,73,69,4,474,6
2024-06-06,2024-06-06 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Swing,79,74,70,4,474,6
2024-06-06,2024-06-06 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Night,44,41,41,0,459,21
2024-06-06,2024-06-06 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 60 Servo Motor,Day,115,113,113,0,478,2
2024-06-06,2024-06-06 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Swing,103,93,93,0,478,2
2024-06-06,2024-06-06 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Night,115,103,98,5,468,12
2024-06-06,2024-06-06 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Day,55,54,52,2,478,2
2024-06-06,2024-06-06 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Vibration Sensor,Swing,90,83,83,0,471,9
2024-06-06,2024-06-06 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Temperature Sensor,Night,110,99,96,3,460,20
2024-06-06,2024-06-06 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Blade Set,Day,61,57,56,1,459,21
2024-06-06,2024-06-06 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Swing,115,100,97,3,456,24
2024-06-06,2024-06-06 00:00:00,2024,Line D2 - Final Test,test-001,Pump Seal Kit,Night,118,111,110,1,460,20
2024-06-07,2024-06-07 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 200 Centrifugal Pump,Day,107,105,103,2,472,8
2024-06-07,2024-06-07 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 200 Centrifugal Pump,Swing,100,96,96,0,459,21
2024-06-07,2024-06-07 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 2000 Gas Turbine,Night,44,40,39,1,463,17
2024-06-07,2024-06-07 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 350 Submersible Pump,Day,117,115,110,5,471,9
2024-06-07,2024-06-07 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 2000 Gas Turbine,Swing,53,46,44,2,459,21
2024-06-07,2024-06-07 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 200 Centrifugal Pump,Night,83,79,79,0,480,0
2024-06-07,2024-06-07 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 100 Centrifugal Pump,Day,40,37,37,0,470,10
2024-06-07,2024-06-07 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 100 Centrifugal Pump,Swing,101,89,89,0,460,20
2024-06-07,2024-06-07 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,HelioGen 1000 Gas Turbine,Night,48,43,42,1,469,11
2024-06-07,2024-06-07 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 3000 Steam Turbine,Day,60,58,57,1,475,5
2024-06-07,2024-06-07 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 350 Submersible Pump,Swing,95,91,86,5,478,2
2024-06-07,2024-06-07 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 200 Centrifugal Pump,Night,67,62,59,3,466,14
2024-06-07,2024-06-07 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Day,74,66,64,2,462,18
2024-06-07,2024-06-07 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Swing,78,72,72,0,470,10
2024-06-07,2024-06-07 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 50 Safety Valve,Night,86,82,78,4,472,8
2024-06-07,2024-06-07 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 60 Servo Motor,Day,90,88,88,0,468,12
2024-06-07,2024-06-07 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Swing,47,45,44,1,479,1
2024-06-07,2024-06-07 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 60 Servo Motor,Night,116,110,106,4,473,7
2024-06-07,2024-06-07 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Temperature Sensor,Day,105,97,97,0,456,24
2024-06-07,2024-06-07 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Temperature Sensor,Swing,95,89,86,3,458,22
2024-06-07,2024-06-07 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Night,105,104,104,0,473,7
2024-06-07,2024-06-07 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Day,104,98,95,3,474,6
2024-06-07,2024-06-07 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Swing,70,60,60,0,456,24
2024-06-07,2024-06-07 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Night,115,110,105,5,474,6
2024-06-08,2024-06-08 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 350 Submersible Pump,Day,48,44,44,0,472,8
2024-06-08,2024-06-08 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 200 Centrifugal Pump,Swing,98,87,84,3,456,24
2024-06-08,2024-06-08 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 3000 Steam Turbine,Night,42,38,38,0,476,4
2024-06-08,2024-06-08 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 2000 Gas Turbine,Day,59,57,56,1,467,13
2024-06-08,2024-06-08 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 2000 Gas Turbine,Swing,96,86,86,0,478,2
2024-06-08,2024-06-08 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 100 Centrifugal Pump,Night,86,83,83,0,465,15
2024-06-08,2024-06-08 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 500 Booster Pump,Day,43,40,40,0,459,21
2024-06-08,2024-06-08 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 200 Centrifugal Pump,Swing,71,68,66,2,474,6
2024-06-08,2024-06-08 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 200 Centrifugal Pump,Night,52,48,48,0,464,16
2024-06-08,2024-06-08 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 500 Booster Pump,Day,63,59,58,1,479,1
2024-06-08,2024-06-08 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 2000 Gas Turbine,Swing,64,59,58,1,467,13
2024-06-08,2024-06-08 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 2000 Gas Turbine,Night,103,91,87,4,470,10
2024-06-08,2024-06-08 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 50 Safety Valve,Day,74,66,65,1,475,5
2024-06-08,2024-06-08 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 25 Control Valve,Swing,41,36,36,0,457,23
2024-06-08,2024-06-08 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 50 Safety Valve,Night,70,65,65,0,470,10
2024-06-08,2024-06-08 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 60 Servo Motor,Day,95,85,82,3,471,9
2024-06-08,2024-06-08 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Swing,77,72,70,2,466,14
2024-06-08,2024-06-08 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 30 Induction Motor,Night,86,82,81,1,476,4
2024-06-08,2024-06-08 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Day,89,88,87,1,478,2
2024-06-08,2024-06-08 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Pressure Sensor,Swing,46,44,42,2,458,22
2024-06-08,2024-06-08 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Vibration Sensor,Night,113,99,99,0,459,21
2024-06-08,2024-06-08 00:00:00,2024,Line D2 - Final Test,test-001,Pump Impeller,Day,64,60,59,1,457,23
2024-06-08,2024-06-08 00:00:00,2024,Line D2 - Final Test,test-001,Pump Impeller,Swing,118,115,110,5,473,7
2024-06-08,2024-06-08 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Blade Set,Night,69,67,64,3,476,4
2024-06-10,2024-06-10 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 350 Submersible Pump,Day,53,48,46,2,457,23
2024-06-10,2024-06-10 00:00:00,2024,Line A1 - Pump Assembly,pump-001,AquaFlow 500 Booster Pump,Swing,43,40,38,2,473,7
2024-06-10,2024-06-10 00:00:00,2024,Line A1 - Pump Assembly,pump-001,HelioGen 1000 Gas Turbine,Night,105,92,90,2,462,18
2024-06-10,2024-06-10 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 200 Centrifugal Pump,Day,46,44,43,1,463,17
2024-06-10,2024-06-10 00:00:00,2024,Line B1 - Pump Assembly,pump-002,HelioGen 2000 Gas Turbine,Swing,73,71,69,2,479,1
2024-06-10,2024-06-10 00:00:00,2024,Line B1 - Pump Assembly,pump-002,AquaFlow 350 Submersible Pump,Night,86,78,74,4,472,8
2024-06-10,2024-06-10 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 500 Booster Pump,Day,81,75,72,3,480,0
2024-06-10,2024-06-10 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,HelioGen 3000 Steam Turbine,Swing,93,88,86,2,476,4
2024-06-10,2024-06-10 00:00:00,2024,Line C1 - Turbine Assembly,turbine-001,AquaFlow 500 Booster Pump,Night,75,74,72,2,474,6
2024-06-10,2024-06-10 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,HelioGen 3000 Steam Turbine,Day,105,92,92,0,469,11
2024-06-10,2024-06-10 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 500 Booster Pump,Swing,93,84,81,3,468,12
2024-06-10,2024-06-10 00:00:00,2024,Line D1 - Turbine Assembly,turbine-002,AquaFlow 350 Submersible Pump,Night,42,38,38,0,466,14
2024-06-10,2024-06-10 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 10 Control Valve,Day,101,101,101,0,474,6
2024-06-10,2024-06-10 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 50 Safety Valve,Swing,52,46,44,2,458,22
2024-06-10,2024-06-10 00:00:00,2024,Line A2 - Valve Machining,mill-001,FlowGuard 10 Control Valve,Night,70,68,65,3,469,11
2024-06-10,2024-06-10 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 15 Induction Motor,Day,94,86,84,2,480,0
2024-06-10,2024-06-10 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 60 Servo Motor,Swing,64,63,63,0,471,9
2024-06-10,2024-06-10 00:00:00,2024,Line B2 - Motor Winding,winder-001,TorqueMax 15 Induction Motor,Night,109,107,105,2,469,11
2024-06-10,2024-06-10 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Temperature Sensor,Day,42,39,39,0,460,20
2024-06-10,2024-06-10 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Temperature Sensor,Swing,43,38,38,0,477,3
2024-06-10,2024-06-10 00:00:00,2024,Line C2 - Sensor Calibration,calib-001,SenseLine Temperature Sensor,Night,108,99,94,5,476,4
2024-06-10,2024-06-10 00:00:00,2024,Line D2 - Final Test,test-001,Turbine Bearing Set,Day,103,96,94,2,474,6
