PO_Number,Date,VendorName,Plant,Qty,UnitCost,Amount,PromisedDays,ActualDays,OnTime
500149,2024-06-25,NordSteel AG,Riverside Plant,238,476.71,113456.98,24,27,False
500150,2024-06-25,Siemens Industrial,Riverside Plant,812,39.54,32106.48,11,19,False
500151,2024-06-25,NordSteel AG,Rheinland Plant,506,98.95,50068.7,12,20,False
500152,2024-06-25,SealTech Polymers,Rheinland Plant,553,244.8,135374.4,13,11,True
500153,2024-06-26,FastenRight Supply,Riverside Plant,230,214.45,49323.5,21,22,False
500154,2024-06-26,PrecisionCast Foundry,Riverside Plant,32,126.34,4042.88,18,22,False
500155,2024-06-26,FastenRight Supply,Riverside Plant,343,83.5,28640.5,5,7,False
500156,2024-06-26,PrecisionCast Foundry,Riverside Plant,874,319.44,279190.56,11,12,False
500157,2024-06-26,Honeywell Sensing,Rheinland Plant,289,108.09,31238.01,21,30,False
500158,2024-06-26,Siemens Industrial,Rheinland Plant,433,187.94,81378.02,4,14,False
500159,2024-06-26,BearingWorks Ltd,Riverside Plant,379,465.19,176307.01,4,4,True
500160,2024-06-26,FastenRight Supply,Rheinland Plant,987,22.17,21881.79,13,18,False
500161,2024-06-27,Siemens Industrial,Riverside Plant,853,323.08,275587.24,23,30,False
500162,2024-06-27,Honeywell Sensing,Rheinland Plant,952,42.3,40269.6,9,14,False
500163,2024-06-27,FastenRight Supply,Rheinland Plant,570,389.54,222037.8,18,26,False
500164,2024-06-28,Siemens Industrial,Riverside Plant,154,153.63,23659.02,18,24,False
500165,2024-06-28,GE Power Systems,Riverside Plant,94,413.08,38829.52,15,16,False
500166,2024-06-29,SealTech Polymers,Riverside Plant,729,111.41,81217.89,5,6,False
500167,2024-06-29,SealTech Polymers,Riverside Plant,867,210.16,182208.72,18,18,True
500168,2024-06-29,BearingWorks Ltd,Riverside Plant,963,232.83,224215.29,17,17,True
500169,2024-06-29,CopperLine Metals,Riverside Plant,593,189.79,112545.47,5,12,False
500170,2024-06-29,Honeywell Sensing,Rheinland Plant,230,254.24,58475.2,29,27,True
500171,2024-06-30,GE Power Systems,Riverside Plant,649,218.54,141832.46,22,32,False
500172,2024-06-30,CopperLine Metals,Riverside Plant,941,119.43,112383.63,22,28,False
500173,2024-06-30,CopperLine Metals,Riverside Plant,44,269.78,11870.32,20,21,False
500174,2024-06-30,BearingWorks Ltd,Riverside Plant,328,226.65,74341.2,5,9,False
500175,2024-06-30,Siemens Industrial,Rheinland Plant,80,6.55,524.0,15,21,False
500176,2024-06-30,Honeywell Sensing,Rheinland Plant,947,337.13,319262.11,25,27,False
500177,2024-06-30,CopperLine Metals,Rheinland Plant,206,153.82,31686.92,26,27,False
500178,2024-06-30,ElectroParts Co,Riverside Plant,450,461.86,207837.0,3,11,False
500179,2024-07-01,CopperLine Metals,Rheinland Plant,540,391.61,211469.4,27,30,False
500180,2024-07-01,Siemens Industrial,Rheinland Plant,137,72.18,9888.66,18,17,True
500181,2024-07-01,GE Power Systems,Riverside Plant,956,237.01,226581.56,21,24,False
500182,2024-07-01,Siemens Industrial,Riverside Plant,960,29.57,28387.2,28,39,False
500183,2024-07-01,ElectroParts Co,Riverside Plant,923,432.38,399086.74,28,28,True
500184,2024-07-01,Siemens Industrial,Rheinland Plant,938,217.69,204193.22,7,15,False
500185,2024-07-01,Honeywell Sensing,Riverside Plant,582,96.75,56308.5,14,22,False
500186,2024-07-01,SealTech Polymers,Rheinland Plant,358,414.39,148351.62,12,17,False
500187,2024-07-01,FastenRight Supply,Riverside Plant,506,268.48,135850.88,5,5,True
500188,2024-07-01,SealTech Polymers,Rheinland Plant,616,381.92,235262.72,28,31,False
500189,2024-07-01,FastenRight Supply,Rheinland Plant,183,337.11,61691.13,15,26,False
500190,2024-07-02,Honeywell Sensing,Rheinland Plant,883,366.0,323178.0,15,18,False
500191,2024-07-02,Siemens Industrial,Riverside Plant,873,76.07,66409.11,26,36,False
500192,2024-07-02,CopperLine Metals,Rheinland Plant,415,431.36,179014.4,22,31,False
500193,2024-07-02,Honeywell Sensing,Rheinland Plant,186,476.68,88662.48,23,24,False
500194,2024-07-02,NordSteel AG,Riverside Plant,530,360.21,190911.3,11,20,False
500195,2024-07-02,SealTech Polymers,Riverside Plant,362,124.74,45155.88,6,12,False
500196,2024-07-03,FastenRight Supply,Riverside Plant,135,389.2,52542.0,29,33,False
500197,2024-07-03,PrecisionCast Foundry,Riverside Plant,449,136.68,61369.32,6,7,False
500198,2024-07-03,NordSteel AG,Riverside Plant,237,459.64,108934.68,15,19,False
500199,2024-07-03,NordSteel AG,Riverside Plant,836,480.26,401497.36,5,5,True
500200,2024-07-03,ElectroParts Co,Riverside Plant,978,474.79,464344.62,7,9,False
500201,2024-07-04,ElectroParts Co,Rheinland Plant,145,61.59,8930.55,8,14,False
500202,2024-07-04,BearingWorks Ltd,Rheinland Plant,19,175.46,3333.74,14,15,False
500203,2024-07-04,GE Power Systems,Riverside Plant,641,165.95,106373.95,26,34,False
500204,2024-07-04,Honeywell Sensing,Rheinland Plant,921,344.9,317652.9,23,23,True
500205,2024-07-04,FastenRight Supply,Rheinland Plant,182,351.84,64034.88,3,3,True
500206,2024-07-04,PrecisionCast Foundry,Rheinland Plant,80,496.21,39696.8,15,20,False
500207,2024-07-04,ElectroParts Co,Riverside Plant,648,466.25,302130.0,22,33,False
500208,2024-07-04,ElectroParts Co,Riverside Plant,281,7.13,2003.53,11,10,True
500209,2024-07-05,GE Power Systems,Rheinland Plant,906,167.6,151845.6,5,3,True
500210,2024-07-05,NordSteel AG,Riverside Plant,830,447.64,371541.2,17,18,False
500211,2024-07-05,SealTech Polymers,Rheinland Plant,108,17.22,1859.76,11,22,False
500212,2024-07-05,Honeywell Sensing,Riverside Plant,313,270.42,84641.46,18,21,False
500213,2024-07-05,FastenRight Supply,Rheinland Plant,151,304.53,45984.03,24,33,False
500214,2024-07-06,Honeywell Sensing,Rheinland Plant,49,61.55,3015.95,3,1,True
500215,2024-07-06,ElectroParts Co,Riverside Plant,841,86.19,72485.79,29,32,False
500216,2024-07-07,GE Power Systems,Riverside Plant,336,351.09,117966.24,23,24,False
500217,2024-07-07,Honeywell Sensing,Rheinland Plant,49,16.07,787.43,18,19,False
500218,2024-07-07,NordSteel AG,Rheinland Plant,283,400.48,113335.84,17,23,False
500219,2024-07-07,PrecisionCast Foundry,Rheinland Plant,54,235.41,12712.14,24,35,False
500220,2024-07-07,GE Power Systems,Rheinland Plant,336,64.95,21823.2,9,18,False
500221,2024-07-07,Siemens Industrial,Rheinland Plant,130,136.33,17722.9,25,33,False
500222,2024-07-08,PrecisionCast Foundry,Riverside Plant,60,179.31,10758.6,22,33,False
500223,2024-07-08,FastenRight Supply,Rheinland Plant,914,153.31,140125.34,28,26,True
500224,2024-07-08,ElectroParts Co,Riverside Plant,753,406.26,305913.78,9,9,True
500225,2024-07-08,BearingWorks Ltd,Riverside Plant,251,444.95,111682.45,14,22,False
500226,2024-07-08,Honeywell Sensing,Rheinland Plant,816,143.6,117177.6,20,21,False
500227,2024-07-08,Siemens Industrial,Rheinland Plant,421,482.31,203052.51,15,24,False
500228,2024-07-08,NordSteel AG,Riverside Plant,576,97.03,55889.28,26,29,False
500229,2024-07-08,SealTech Polymers,Rheinland Plant,456,52.82,24085.92,4,15,False
500230,2024-07-08,Honeywell Sensing,Rheinland Plant,262,84.04,22018.48,16,17,False
500231,2024-07-09,PrecisionCast Foundry,Rheinland Plant,403,419.39,169014.17,23,29,False
500232,2024-07-09,ElectroParts Co,Riverside Plant,190,245.36,46618.4,28,34,False
500233,2024-07-09,BearingWorks Ltd,Rheinland Plant,434,44.94,19503.96,14,13,True
500234,2024-07-09,CopperLine Metals,Riverside Plant,313,285.69,89420.97,17,25,False
500235,2024-07-10,PrecisionCast Foundry,Rheinland Plant,791,230.17,182064.47,11,17,False
500236,2024-07-10,CopperLine Metals,Riverside Plant,701,283.76,198915.76,17,26,False
500237,2024-07-10,FastenRight Supply,Rheinland Plant,793,402.77,319396.61,13,18,False
500238,2024-07-10,BearingWorks Ltd,Riverside Plant,304,257.2,78188.8,20,22,False
500239,2024-07-10,Honeywell Sensing,Riverside Plant,471,414.41,195187.11,29,33,False
500240,2024-07-10,BearingWorks Ltd,Rheinland Plant,220,319.48,70285.6,23,33,False
500241,2024-07-10,Siemens Industrial,Rheinland Plant,447,204.2,91277.4,26,33,False
500242,2024-07-11,PrecisionCast Foundry,Rheinland Plant,604,106.12,64096.48,7,12,False
500243,2024-07-11,FastenRight Supply,Riverside Plant,768,487.87,374684.16,7,18,False
500244,2024-07-11,CopperLine Metals,Riverside Plant,471,330.54,155684.34,3,4,False
500245,2024-07-11,Honeywell Sensing,Rheinland Plant,770,294.35,226649.5,14,21,False
500246,2024-07-11,Siemens Industrial,Riverside Plant,921,329.33,303312.93,7,8,False
500247,2024-07-11,ElectroParts Co,Rheinland Plant,613,369.37,226423.81,16,25,False
500248,2024-07-11,Honeywell Sensing,Rheinland Plant,785,433.69,340446.65,8,6,True
500249,2024-07-11,ElectroParts Co,Riverside Plant,697,168.85,117688.45,18,25,False
500250,2024-07-11,CopperLine Metals,Riverside Plant,418,287.84,120317.12,27,29,False
500251,2024-07-11,Siemens Industrial,Riverside Plant,202,420.45,84930.9,27,29,False
500252,2024-07-12,ElectroParts Co,Rheinland Plant,251,390.72,98070.72,8,9,False
500253,2024-07-12,ElectroParts Co,Riverside Plant,963,478.92,461199.96,9,15,False
500254,2024-07-12,GE Power Systems,Riverside Plant,951,421.09,400456.59,23,32,False
500255,2024-07-13,FastenRight Supply,Riverside Plant,619,406.43,251580.17,9,19,False
500256,2024-07-13,ElectroParts Co,Rheinland Plant,743,358.44,266320.92,18,17,True
500257,2024-07-13,BearingWorks Ltd,Riverside Plant,894,429.87,384303.78,19,28,False
500258,2024-07-13,Siemens Industrial,Rheinland Plant,358,325.49,116525.42,14,17,False
500259,2024-07-14,CopperLine Metals,Riverside Plant,520,427.84,222476.8,29,27,True
500260,2024-07-14,NordSteel AG,Rheinland Plant,931,223.26,207855.06,28,28,True
500261,2024-07-14,SealTech Polymers,Riverside Plant,443,92.91,41159.13,12,15,False
500262,2024-07-14,FastenRight Supply,Riverside Plant,760,282.16,214441.6,23,30,False
500263,2024-07-14,ElectroParts Co,Riverside Plant,724,488.03,353333.72,26,33,False
500264,2024-07-14,NordSteel AG,Rheinland Plant,83,164.25,13632.75,21,22,False
500265,2024-07-14,PrecisionCast Foundry,Rheinland Plant,663,352.4,233641.2,18,21,False
500266,2024-07-14,FastenRight Supply,Rheinland Plant,340,231.1,78574.0,9,10,False
500267,2024-07-14,SealTech Polymers,Rheinland Plant,58,354.89,20583.62,21,26,False
500268,2024-07-14,Honeywell Sensing,Riverside Plant,99,159.56,15796.44,10,17,False
500269,2024-07-14,GE Power Systems,Riverside Plant,647,478.94,309874.18,17,19,False
500270,2024-07-15,SealTech Polymers,Rheinland Plant,181,397.08,71871.48,18,22,False
500271,2024-07-15,Siemens Industrial,Riverside Plant,34,155.67,5292.78,29,29,True
500272,2024-07-15,SealTech Polymers,Riverside Plant,116,470.27,54551.32,5,11,False
500273,2024-07-15,Siemens Industrial,Rheinland Plant,534,279.61,149311.74,13,24,False
500274,2024-07-15,BearingWorks Ltd,Riverside Plant,514,324.26,166669.64,18,16,True
500275,2024-07-15,NordSteel AG,Rheinland Plant,361,212.54,76726.94,27,29,False
500276,2024-07-15,BearingWorks Ltd,Riverside Plant,568,467.5,265540.0,7,18,False
500277,2024-07-15,NordSteel AG,Rheinland Plant,648,177.41,114961.68,10,19,False
500278,2024-07-15,CopperLine Metals,Rheinland Plant,396,106.0,41976.0,20,18,True
500279,2024-07-15,BearingWorks Ltd,Rheinland Plant,657,376.2,247163.4,19,20,False
500280,2024-07-16,SealTech Polymers,Riverside Plant,314,492.76,154726.64,4,8,False
500281,2024-07-16,FastenRight Supply,Rheinland Plant,603,335.77,202469.31,18,23,False
500282,2024-07-16,ElectroParts Co,Riverside Plant,851,26.64,22670.64,21,26,False
500283,2024-07-16,Honeywell Sensing,Riverside Plant,755,122.81,92721.55,21,23,False
500284,2024-07-16,FastenRight Supply,Rheinland Plant,969,346.03,335303.07,6,6,True
500285,2024-07-17,ElectroParts Co,Rheinland Plant,749,137.9,103287.1,9,18,False
500286,2024-07-17,FastenRight Supply,Riverside Plant,255,453.16,115555.8,22,22,True
500287,2024-07-17,NordSteel AG,Rheinland Plant,437,308.38,134762.06,20,20,True
500288,2024-07-17,Honeywell Sensing,Riverside Plant,80,227.83,18226.4,8,16,False
500289,2024-07-17,ElectroParts Co,Riverside Plant,640,466.1,298304.0,9,20,False
500290,2024-07-17,Siemens Industrial,Riverside Plant,663,91.77,60843.51,23,26,False
500291,2024-07-18,PrecisionCast Foundry,Riverside Plant,515,303.58,156343.7,24,28,False
500292,2024-07-18,NordSteel AG,Rheinland Plant,870,97.4,84738.0,11,12,False
500293,2024-07-18,Honeywell Sensing,Rheinland Plant,183,356.78,65290.74,7,8,False
500294,2024-07-18,NordSteel AG,Rheinland Plant,726,103.85,75395.1,29,36,False
500295,2024-07-18,Honeywell Sensing,Riverside Plant,667,44.22,29494.74,19,30,False
500296,2024-07-18,CopperLine Metals,Riverside Plant,211,367.43,77527.73,13,16,False
500297,2024-07-19,Siemens Industrial,Rheinland Plant,610,440.19,268515.9,22,25,False
500298,2024-07-19,PrecisionCast Foundry,Rheinland Plant,157,83.39,13092.23,21,26,False
500299,2024-07-19,PrecisionCast Foundry,Riverside Plant,819,422.54,346060.26,16,17,False
500300,2024-07-19,NordSteel AG,Riverside Plant,759,255.33,193795.47,24,34,False
500301,2024-07-19,SealTech Polymers,Rheinland Plant,679,137.75,93532.25,8,15,False
500302,2024-07-19,BearingWorks Ltd,Rheinland Plant,860,150.31,129266.6,25,30,False
500303,2024-07-19,CopperLine Metals,Rheinland Plant,839,451.62,378909.18,12,10,True
500304,2024-07-20,Siemens Industrial,Rheinland Plant,304,308.18,93686.72,14,19,False
500305,2024-07-20,NordSteel AG,Riverside Plant,15,141.69,2125.35,9,14,False
500306,2024-07-20,FastenRight Supply,Rheinland Plant,296,335.57,99328.72,14,13,True
500307,2024-07-20,ElectroParts Co,Rheinland Plant,812,449.4,364912.8,24,34,False
500308,2024-07-20,Siemens Industrial,Rheinland Plant,464,138.77,64389.28,13,19,False
500309,2024-07-20,FastenRight Supply,Rheinland Plant,615,198.43,122034.45,21,27,False
